Date,wf,mf,sf,IHT,IH,wfy,sqhdd1,dhdd1,dhdd13,hdd1t,Troloff,mx2,mn4,dcy,c7,cy,c
4/26/2011,0.970642056,0.44852523,0.500416191,0,0,0.965849858,1.835755975,-2.17,-10.218313,2.04,12.13,18.03649,13.70594684,0,1022.1609,1151.7909,1127.6467
4/27/2011,0.950674824,0.44852523,0.500416191,0,0,0.970642056,1.428285686,-1.33,-2.352637,0,13.46,21.40369,22.74015744,0,1059.4834,1127.6467,1036.4593
4/28/2011,0.961823283,0.44852523,0.500416191,0,0,0.950674824,0,-2.04,-8.489664,2.31,15.59,28.29124,42.40407601,0,1125.3316,1036.4593,870.9835
4/29/2011,0.945372575,0.44852523,0.500416191,0,0,0.961823283,1.519868415,2.31,12.326391,0,13.19,18.14409,27.6922881,0,1338.7949,870.9835,912.8617
4/30/2011,0.942252607,0.44852523,0.500416191,0,0,0.945372575,0,-2.31,-12.326391,2.2,15.7,32.94225,30.82219141,0,1130.5518,912.8617,769.4661
5/1/2011,1,0.223192407,0.500416191,0,0,0.942252607,1.483239697,2.2,10.648,0,13.3,19.79649,24.6492826,0,957.4064,769.4661,954.2112
5/2/2011,0.965849858,0.223192407,0.500416191,0,0,1,0,-2.2,-10.648,0,17.184814,38.53369,56.97888351,0,1151.7909,954.2112,711.4057
5/3/2011,0.970642056,0.223192407,0.500416191,0,0,0.965849858,0,0,0,0,16.592222,38.29849,35.74462891,0,1127.6467,711.4057,647.5705
5/4/2011,0.950674824,0.223192407,0.500416191,0,0,0.970642056,0,0,0,0,17.444074,44.31025,50.22121338,0,1036.4593,647.5705,597.1896
5/5/2011,0.961823283,0.223192407,0.500416191,0,0,0.950674824,0,0,0,1.93,16.592222,30.276,63.11274451,0,870.9835,597.1896,617.4812
5/6/2011,0.945372575,0.223192407,0.500416191,0,0,0.961823283,1.389244399,1.93,7.189057,2.37,13.57,29.68729,9.6059601,0,912.8617,617.4812,599.6127
