Date,c
12/23/2012,2725.6664
12/24/2012,2794.6663
12/25/2012,2796.2996
12/26/2012,2934.6175
12/27/2012,2955.2938
12/28/2012,2849.7849
12/29/2012,2737.9951
12/30/2012,2980.0477
12/31/2012,3031.1018
1/1/2013,2515.1777
1/2/2013,2593.191
1/3/2013,2707.949
1/4/2013,2710.3775
1/5/2013,2708.469
1/6/2013,2711.8164
1/7/2013,2689.6311
1/8/2013,2760.0162
1/9/2013,2922.7623
1/10/2013,2950.4262
1/11/2013,2918.1717
1/12/2013,2957.7155
1/13/2013,3002.7127
1/14/2013,2889.8131
1/15/2013,2933.1327
1/16/2013,3011.0023
1/17/2013,3088.0915
1/18/2013,2746.8258
1/19/2013,2661.7873
1/20/2013,2777.7089
1/21/2013,2664.3294
1/22/2013,2462.0618
1/23/2013,2523.8753
1/24/2013,2481.1216
1/25/2013,2473.0579
1/26/2013,2306.2079
1/27/2013,2554.4089
1/28/2013,2294.7661
1/29/2013,2557.4249
1/30/2013,2495.1892
1/31/2013,2399.322
2/1/2013,2382.4846
2/2/2013,2526.9622
2/3/2013,2510.4728
2/4/2013,2410.9413
2/5/2013,2267.2813
2/6/2013,2257.2768
2/7/2013,2237.7756
2/8/2013,2042.053
2/9/2013,2269.6367
2/10/2013,2523.5541
2/11/2013,2466.2561
2/12/2013,2358.5654
2/13/2013,2298.9759
2/14/2013,2323.2128
2/15/2013,2184.5768
2/16/2013,2284.6837
2/17/2013,2346.5994
2/18/2013,2242.2235
2/19/2013,2449.159
2/20/2013,2358.4282
2/21/2013,2408.9271
2/22/2013,2385.6757
2/23/2013,2328.2432
2/24/2013,2459.993
2/25/2013,2430.3896
2/26/2013,2493.641
2/27/2013,2374.6753
2/28/2013,2450.7829
3/1/2013,2470.5423
3/2/2013,2310.6332
3/3/2013,2544.5546
3/4/2013,2632.5829
3/5/2013,2724.7536
3/6/2013,2776.2293
3/7/2013,2725.9993
3/8/2013,2527.7242
3/9/2013,2336.1055
3/10/2013,2153.1869
3/11/2013,1873.5204
3/12/2013,1816.1399
3/13/2013,1919.9763
3/14/2013,1731.9837
3/15/2013,1589.8215
3/16/2013,1701.947
3/17/2013,1946.1916
3/18/2013,2375.1982
3/19/2013,2023.8643
3/20/2013,1841.1288
3/21/2013,1593.7209
3/22/2013,1671.0213
3/23/2013,1714.844
3/24/2013,2174.2895
3/25/2013,2189.4688
3/26/2013,2013.388
3/27/2013,1901.7358
3/28/2013,1580.5387
3/29/2013,1842.4119
3/30/2013,1582.1879
3/31/2013,1749.8893
4/1/2013,1528.4318
4/2/2013,1352.6571
4/3/2013,1110.8605
4/4/2013,985.7989
4/5/2013,990.3757
4/6/2013,914.3732
4/7/2013,876.0405
4/8/2013,724.8804
4/9/2013,916.6269
4/10/2013,894.2648
4/11/2013,1182.0175
4/12/2013,1025.1356
4/13/2013,1002.1631
4/14/2013,1048.205
4/15/2013,923.8654
4/16/2013,1389.0182
4/17/2013,1724.7453
4/18/2013,1726.9783
4/19/2013,1557.7051
4/20/2013,1652.5058
4/21/2013,1716.8987
4/22/2013,1536.2299
4/23/2013,1613.8474
4/24/2013,1736.2255
4/25/2013,1651.4239
4/26/2013,1492.57
4/27/2013,1091.2659
4/28/2013,975.688
4/29/2013,836.2657
4/30/2013,774.7285
5/1/2013,767.0469
5/2/2013,782.4112
5/3/2013,769.6807
5/4/2013,717.2696
5/5/2013,538.3981
5/6/2013,570.2617
5/7/2013,654.2847
5/8/2013,696.5833
5/9/2013,771.1211
5/10/2013,741.6064
5/11/2013,733.5353
5/12/2013,813.2132
5/13/2013,737.1239
5/14/2013,738.1776
5/15/2013,727.3923
5/16/2013,744.5416
5/17/2013,721.6053
5/18/2013,735.4237
5/19/2013,781.6397
5/20/2013,796.3023
5/21/2013,779.4708
5/22/2013,769.1887
5/23/2013,705.4551
5/24/2013,664.5911
5/25/2013,675.6667
5/26/2013,722.837
5/27/2013,703.7038
5/28/2013,711.7389
5/29/2013,736.8974
5/30/2013,719.5326
5/31/2013,701.4145
6/1/2013,689.7233
6/2/2013,711.4646
6/3/2013,705.5315
6/4/2013,703.8197
6/5/2013,708.5147
6/6/2013,708.0138
6/7/2013,712.7728
6/8/2013,705.6275
6/9/2013,713.1665
6/10/2013,695.1925
6/11/2013,697.0148
6/12/2013,711.7799
6/13/2013,682.4563
6/14/2013,669.7035
6/15/2013,660.821
6/16/2013,660.3162
6/17/2013,655.277
6/18/2013,649.6549
6/19/2013,679.1557
6/20/2013,678.6622
6/21/2013,680.4389
6/22/2013,662.3484
6/23/2013,660.4392
6/24/2013,650.5583
6/25/2013,659.381
6/26/2013,654.6209
6/27/2013,660.6208
6/28/2013,645.2305
6/29/2013,612.7236
6/30/2013,624.1866
7/1/2013,616.1259
7/2/2013,633.3914
7/3/2013,655.1139
7/4/2013,641.3388
7/5/2013,627.0121
7/6/2013,614.7681
7/7/2013,631.4435
7/8/2013,628.4263
7/9/2013,632.8462
7/10/2013,609.8766
7/11/2013,618.888
7/12/2013,616.7931
7/13/2013,608.2595
7/14/2013,600.5996
7/15/2013,605.4792
7/16/2013,602.731
7/17/2013,598.7921
7/18/2013,594.5441
7/19/2013,609.5641
7/20/2013,592.9212
7/21/2013,594.355
7/22/2013,593.6045
7/23/2013,609.0194
7/24/2013,626.4327
7/25/2013,632.3029
7/26/2013,618.2063
7/27/2013,592.1258
7/28/2013,613.631
7/29/2013,637.067
7/30/2013,635.3386
7/31/2013,633.0842
8/1/2013,639.917
8/2/2013,620.7641
8/3/2013,580.9755
8/4/2013,596.2247
8/5/2013,611.9492
8/6/2013,617.6649
8/7/2013,612.6191
8/8/2013,607.4243
8/9/2013,596.3246
8/10/2013,581.3742
8/11/2013,586.3535
8/12/2013,594.1945
8/13/2013,594.4563
8/14/2013,593.9243
8/15/2013,592.9972
8/16/2013,586.6448
8/17/2013,549.4939
8/18/2013,568.3015
8/19/2013,581.2233
8/20/2013,572.5495
8/21/2013,601.0947
8/22/2013,612.6654
8/23/2013,605.1074
8/24/2013,569.7372
8/25/2013,597.8052
8/26/2013,596.7961
8/27/2013,582.5779
8/28/2013,545.5566
8/29/2013,576.4699
8/30/2013,591.2986
8/31/2013,583.8182
9/1/2013,606.7747
9/2/2013,618.0514
9/3/2013,619.7637
9/4/2013,632.8133
9/5/2013,664.5951
9/6/2013,659.5282
9/7/2013,655.9593
9/8/2013,673.6543
9/9/2013,671.4311
9/10/2013,680.8082
9/11/2013,693.4785
9/12/2013,699.663
9/13/2013,687.4173
9/14/2013,684.6386
9/15/2013,718.6386
9/16/2013,689.8219
9/17/2013,679.7637
9/18/2013,679.9403
9/19/2013,676.2501
9/20/2013,671.0498
9/21/2013,648.2928
9/22/2013,738.1006
9/23/2013,724.4883
9/24/2013,737.1444
9/25/2013,751.9327
9/26/2013,772.8699
9/27/2013,743.1325
9/28/2013,733.9388
9/29/2013,809.5472
9/30/2013,771.4898
10/1/2013,768.0987
10/2/2013,759.4553
10/3/2013,768.4918
10/4/2013,828.6188
10/5/2013,899.3372
10/6/2013,1059.5521
10/7/2013,1044.9864
10/8/2013,1131.3207
10/9/2013,1122.2692
10/10/2013,1085.9073
10/11/2013,1055.5931
10/12/2013,998.6593
10/13/2013,1005.1445
10/14/2013,1011.117
10/15/2013,991.0253
10/16/2013,998.9075
10/17/2013,975.8336
10/18/2013,907.0792
10/19/2013,1028.9086
10/20/2013,1149.207
10/21/2013,1102.9936
10/22/2013,1068.5845
10/23/2013,1185.216
10/24/2013,1226.5903
10/25/2013,1283.4761
10/26/2013,1284.8382
10/27/2013,1285.6623
10/28/2013,1327.0647
10/29/2013,1269.2167
10/30/2013,1275.3696
10/31/2013,1239.9929
11/1/2013,1201.6186
11/2/2013,1294.1812
11/3/2013,1336.2249
11/4/2013,1292.9198
11/5/2013,1314.8845
11/6/2013,1348.4713
11/7/2013,1368.8903
11/8/2013,1469.0399
11/9/2013,1595.32
11/10/2013,1719.9289
11/11/2013,1616.9799
11/12/2013,1604.0783
11/13/2013,1609.4163
11/14/2013,1491.547
11/15/2013,1549.0922
11/16/2013,1612.2726
11/17/2013,1714.9157
11/18/2013,1730.6915
11/19/2013,1917.1062
11/20/2013,2191.5096
11/21/2013,2202.0575
11/22/2013,2163.1118
11/23/2013,2123.1049
11/24/2013,2225.2458
11/25/2013,2205.2076
11/26/2013,2113.8876
11/27/2013,2103.0494
11/28/2013,2088.0262
11/29/2013,2112.904
11/30/2013,2245.8358
12/1/2013,2390.8511
12/2/2013,2362.0629
12/3/2013,2750.601
12/4/2013,2903.2718
12/5/2013,2986.368
12/6/2013,2881.3105
12/7/2013,2899.3461
12/8/2013,3121.6553
12/9/2013,3167.0318
12/10/2013,3182.3808
12/11/2013,3261.0577
12/12/2013,3422.4756
12/13/2013,3356.7041
12/14/2013,3295.141
12/15/2013,3362.6622
12/16/2013,3455.4645
12/17/2013,3350.5436
12/18/2013,3323.3572
12/19/2013,3317.3369
12/20/2013,3261.1011
12/21/2013,3297.2014
12/22/2013,3284.587
12/23/2013,3186.369
12/24/2013,3190.576
12/25/2013,3209.8182
12/26/2013,3200.6289
12/27/2013,3199.3607
12/28/2013,3179.4231
12/29/2013,3203.4593
12/30/2013,3370.8585
12/31/2013,3327.4315
1/1/2014,2722.7681
1/2/2014,2896.9476
1/3/2014,3004.1027
1/4/2014,3094.3543
1/5/2014,3301.1738
1/6/2014,3294.4426
1/7/2014,3113.9386
1/8/2014,3072.1844
1/9/2014,3045.1055
1/10/2014,2974.6212
1/11/2014,2950.6217
1/12/2014,2993.425
1/13/2014,3048.7396
1/14/2014,3037.0421
1/15/2014,3028.9971
1/16/2014,3117.5553
1/17/2014,2971.273
1/18/2014,2773.2806
1/19/2014,2839.4399
1/20/2014,2764.8664
1/21/2014,2813.2667
1/22/2014,2808.4923
1/23/2014,2732.6318
1/24/2014,2669.6555
1/25/2014,2592.7728
1/26/2014,2875.6015
1/27/2014,2864.7997
1/28/2014,2770.3642
1/29/2014,2801.1448
1/30/2014,3040.8046
1/31/2014,3362.6768
2/1/2014,3546.0161
2/2/2014,3792.1279
2/3/2014,3853.9179
2/4/2014,3922.1038
2/5/2014,3784.2664
2/6/2014,3568.3304
2/7/2014,3595.084
2/8/2014,3415.4498
2/9/2014,3345.9095
2/10/2014,3120.3941
2/11/2014,2947.162
2/12/2014,2859.3797
2/13/2014,2855.6826
